Sprache;Projekt;Komplexität;Refactoring;schwierigkeit;LLM;Iteration;Diff;Test;Refactoring-check;Gesamt;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;1;passed;failed;failed;failed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;2;passed;failed;failed;failed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;3;passed;failed;failed;failed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;4;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;5;passed;failed;failed;failed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;6;passed;failed;failed;failed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;7;passed;failed;failed;failed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;8;passed;failed;failed;failed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;9;passed;failed;failed;failed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;10;passed;failed;failed;failed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;codestral-2501;Gesamt;100,00%;10,00%;10,00%;10%;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;1;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;2;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;3;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;4;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;5;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;6;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;7;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;8;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;9;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;10;passed;passed;passed;passed;;
Apex;apex-utilities;gering;coc reduktion;schwierig;Gemini 3 Pro;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;1;passed;failed;passed;failed;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;2;passed;failed;passed;failed;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;3;passed;failed;passed;failed;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;4;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;5;passed;failed;passed;failed;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;6;passed;failed;passed;failed;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;7;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;8;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;9;passed;failed;passed;failed;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;10;passed;failed;passed;failed;;
Apex;force-di;mittel;coc reduktion;schwierig;codestral-2501;Gesamt;100,00%;30,00%;100,00%;30,00%;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;1;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;2;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;3;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;4;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;5;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;6;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;7;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;8;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;9;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;10;passed;passed;passed;passed;;
Apex;force-di;mittel;coc reduktion;schwierig;Gemini 3 Pro;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;1;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;2;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;3;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;4;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;5;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;6;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;7;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;8;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;9;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;10;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;codestral-2501;Gesamt;100,00%;0,00%;0,00%;0,00%;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;1;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;2;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;3;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;4;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;5;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;6;passed;passed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;7;passed;passed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;8;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;9;passed;passed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;10;passed;failed;failed;failed;;
Apex;apex-dml-mocking;komplex;coc reduktion;schwierig;Gemini 3 Pro;Gesamt;100,00%;60,00%;50,00%;30,00%;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;1;passed;failed;failed;failed;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;2;passed;passed;failed;failed;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;3;passed;failed;failed;failed;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;4;passed;passed;failed;failed;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;5;passed;passed;failed;failed;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;6;passed;failed;failed;failed;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;7;passed;passed;failed;failed;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;8;passed;failed;failed;failed;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;9;passed;failed;failed;failed;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;10;passed;failed;failed;failed;;
Python;colorama;gering;coc reduktion;schwierig;codestral-2501;Gesamt;100,00%;40,00%;0,00%;0,00%;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;1;passed;passed;passed;passed;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;2;passed;passed;passed;passed;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;3;passed;passed;passed;passed;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;4;passed;passed;passed;passed;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;5;passed;passed;passed;passed;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;6;passed;passed;passed;passed;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;7;passed;passed;passed;passed;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;8;passed;passed;passed;passed;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;9;passed;passed;passed;passed;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;10;passed;passed;passed;passed;;
Python;colorama;gering;coc reduktion;schwierig;Gemini 3 Pro;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;1;passed;failed;failed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;2;passed;passed;passed;passed;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;3;passed;failed;passed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;4;passed;failed;failed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;5;passed;passed;failed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;6;passed;passed;failed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;7;passed;passed;passed;passed;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;8;passed;passed;passed;passed;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;9;passed;passed;failed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;10;passed;failed;failed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;codestral-2501;Gesamt;100,00%;60,00%;40,00%;30,00%;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;1;passed;failed;passed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;2;passed;passed;passed;passed;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;3;passed;failed;failed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;4;passed;failed;failed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;5;passed;passed;passed;passed;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;6;passed;passed;passed;passed;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;7;passed;passed;passed;passed;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;8;passed;passed;passed;passed;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;9;passed;passed;passed;passed;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;10;passed;failed;passed;failed;;
Python;pluggy;mittel;coc reduktion;schwierig;Gemini 3 Pro;Gesamt;100,00%;60,00%;80,00%;60,00%;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;1;failed;passed;failed;failed;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;2;failed;passed;failed;failed;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;3;passed;passed;failed;failed;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;4;failed;passed;failed;failed;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;5;failed;passed;failed;failed;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;6;failed;passed;failed;failed;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;7;failed;passed;failed;failed;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;8;failed;passed;failed;failed;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;9;failed;passed;failed;failed;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;10;passed;passed;failed;failed;;
Python;pathlib2;komplex;coc reduktion;schwierig;codestral-2501;Gesamt;20,00%;100,00%;0,00%;0,00%;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;1;passed;passed;passed;passed;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;2;passed;passed;passed;passed;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;3;passed;passed;passed;passed;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;4;passed;passed;passed;passed;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;5;passed;passed;passed;passed;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;6;passed;passed;passed;passed;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;7;passed;passed;passed;passed;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;8;passed;passed;passed;passed;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;9;passed;passed;passed;passed;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;10;passed;passed;passed;passed;;
Python;pathlib2;komplex;coc reduktion;schwierig;Gemini 3 Pro;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;1;passed;failed;failed;failed;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;2;passed;failed;passed;failed;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;3;passed;failed;failed;failed;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;4;passed;failed;passed;failed;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;5;passed;failed;failed;failed;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;6;passed;failed;passed;failed;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;7;passed;failed;failed;failed;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;8;passed;failed;passed;failed;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;9;passed;failed;failed;failed;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;10;passed;failed;passed;failed;;
Apex;apex-utilities;gering;getter setter;mittel;codestral-2501;Gesamt;100,00%;0,00%;50,00%;0,00%;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;1;passed;passed;passed;passed;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;2;passed;passed;passed;passed;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;3;passed;passed;passed;passed;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;4;passed;passed;passed;passed;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;5;passed;passed;passed;passed;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;6;passed;passed;passed;passed;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;7;passed;passed;passed;passed;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;8;passed;passed;passed;passed;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;9;passed;passed;passed;passed;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;10;passed;passed;passed;passed;;
Apex;apex-utilities;gering;getter setter;mittel;Gemini 3 Pro;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;1;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;2;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;3;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;4;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;5;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;6;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;7;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;8;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;9;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;10;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;codestral-2501;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;1;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;2;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;3;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;4;passed;passed;passed;passed;;
